CMDLINE c:\python37\python.exe tests/test_stockpyler.py
MEM 0.691406 1556955470.9442
MEM 15.621094 1556955471.0449
MEM 26.921875 1556955471.1456
MEM 28.917969 1556955471.2463
MEM 38.777344 1556955471.3471
MEM 49.304688 1556955471.4478
MEM 54.699219 1556955471.5485
MEM 63.765625 1556955471.6493
MEM 43.277344 1556955471.7530
