CMDLINE c:\python37\python.exe tests/test_stockpyler.py
MEM 0.609375 1556956159.0982
MEM 17.328125 1556956159.2076
MEM 26.835938 1556956159.3169
MEM 36.113281 1556956159.4263
MEM 44.148438 1556956159.5356
MEM 50.964844 1556956159.6450
